,country,week,count
1124,Barbados,10,0
1125,Belarus,10,0
1126,Belgium,10,0
1127,Belize,10,0
1128,Benin,10,0
1129,Bhutan,10,0
1130,Bolivia,10,0
1131,Bosnia and Herzegovina,10,0
1132,Botswana,10,0
1133,Brazil,10,0
1134,Brunei,10,0
1135,Bulgaria,10,0
1136,Burkina Faso,10,0
1137,Burma,10,0
1138,Burundi,10,0
1139,Cabo Verde,10,0
1140,Cambodia,10,0
1141,Cameroon,10,0
1142,Canada,10,0
1143,Central African Republic,10,0
1144,Chad,10,0
1145,Chile,10,0
1146,China,10,3100
1147,Colombia,10,0
1148,Congo (Brazzaville),10,0
1149,Congo (Kinshasa),10,0
1150,Costa Rica,10,0
1151,Cote d'Ivoire,10,0
1152,Croatia,10,0
1153,Cuba,10,0
1154,Cyprus,10,0
1155,Czechia,10,0
1156,Denmark,10,0
1157,Diamond Princess,10,6
1158,Djibouti,10,0
1159,Dominica,10,0
